Cell,Type
B04HB47NeoCP8,Vip_Crh
B05HB47NeoCP8,Vip_Abi3bp
B06HB47NeoCP8,Vip_Crh
B08HB47NeoCP8,Id2_Lamp5_Nos1
B10HB47NeoCP8,Sst_Nos1
B11HB47NeoCP8,Id2_Lamp5_Crh
B12HB47NeoCP9,Pvalb_Lgr5
B18HB47NeoCP10,Pvalb_Nos1
B19HB47NeoCP10,Vip_Abi3bp
B20HB47NeoCP10,Pvalb_Nos1
B22HB47NeoCP10,Sst_Stk32a
B23HB47NeoCP11,Pvalb_Nos1
B24HB47NeoCP11,Vip_Sema3c
C01HB47NeoCP8,Pvalb_Lgr5
C02HB47NeoCP8,Vip_Abi3bp
C03HB47NeoCP8,Pvalb_Nos1
C06HB47NeoCP8,Vip_Crh
C10HB47NeoCP8,Id2_Lamp5_Crh
C12HB47NeoCP9,Pvalb_Sulf1
C14HB47NeoCP9,Vip_Crh
C15HB47NeoCP9,Id2_Nckap5
C18HB47NeoCP10,Pvalb_Sulf1
C20HB47NeoCP10,Pvalb_Nos1
C21HB47NeoCP10,Vip_Nrg1
D02HB47NeoCP8,Pvalb_Sulf1
D09HB47NeoCP8,Vip_Sstr1
D10HB47NeoCP8,Id2_Pax6
D11HB47NeoCP8,Pvalb_Nos1
D12HB47NeoCP9,Vip_Sstr1
D15HB47NeoCP9,Pvalb_Sulf1
D17HB47NeoCP10,Vip_Crh
D18HB47NeoCP10,Vip_Abi3bp
D19HB47NeoCP10,Sst_Tac3
D20HB47NeoCP10,Id2_Pax6
D21HB47NeoCP10,Pvalb_Nos1
D23HB47NeoCP11,Sst_Calb1
E02HB47NeoCP8,Vip_Crh
E03HB47NeoCP8,Vip_Crh
E04HB47NeoCP8,Vip_Abi3bp
E05HB47NeoCP8,Id2_Pax6
E07HB47NeoCP8,Pvalb_Crh
E11HB47NeoCP8,Sst_Stk32a
E13HB47NeoCP9,Sst_Tac1
E14HB47NeoCP9,Vip_Crh
E16HB47NeoCP10,Vip_Abi3bp
E17HB47NeoCP10,Sst_Calb1
E18HB47NeoCP10,Vip_Crh
E19HB47NeoCP10,Pvalb_Crh
E20HB47NeoCP10,Vip_Crh
E22HB47NeoCP10,Vip_Crh
E23HB47NeoCP11,Vip_Abi3bp
F03HB47NeoCP8,Vip_Abi3bp
F04HB47NeoCP8,Pvalb_Sulf1
F05HB47NeoCP8,Pvalb_Nos1
F07HB47NeoCP8,Sst_Stk32a
F12HB47NeoCP9,Sst_Nos1
F17HB47NeoCP10,Sst_Tac3
F19HB47NeoCP10,Sst_Tac3
F22HB47NeoCP11,Sst_Tac3
G01HB47NeoCP8,Vip_Tyr
G02HB47NeoCP8,Pvalb_Sulf1
G05HB47NeoCP8,Sst_Tac3
G07HB47NeoCP8,Vip_Nrg1
G08HB47NeoCP8,Sst_Tac3
G09HB47NeoCP8,Pvalb_Sulf1
G10HB47NeoCP8,Sst_Nos1
G12HB47NeoCP9,Pvalb_Crh
G13HB47NeoCP9,Pvalb_Crh
G14HB47NeoCP9,Id2_Lamp5_Crh
G15HB47NeoCP9,Sst_Stk32a
G18HB47NeoCP10,Vip_Sstr1
G19HB47NeoCP10,Id2_Lamp5_Nos1
G20HB47NeoCP10,Sst_Tac3
G22HB47NeoCP11,Pvalb_Nos1
H01HB47NeoCP8,Vip_Sstr1
H02HB47NeoCP8,Sst_Tac3
H06HB47NeoCP8,Pvalb_Nos1
H07HB47NeoCP8,Pvalb_Sulf1
H09HB47NeoCP8,Pvalb_Sulf1
H10HB47NeoCP8,Id2_Lamp5_Crh
H20HB47NeoCP10,Sst_Calb1
H23HB47NeoCP11,Pvalb_Nos1
H07170918P3,L5_6_Themis_Sema3a
D01MGE171027P1,L5_6_Themis_Sema3a
H03MGE171027P1,L5_6_Themis_Sema3a
B08NeuN171115P1,L5_6_Themis_Sema3a
G02170918P3,L5_6_Themis_Sema3a
F06170707P3,L5_6_Themis_Sema3a
C17HB47NeoCP10,L5_6_Themis_Sema3a
C11MGE171027P3,L5_6_Themis_Sema3a
B04170707P3,L5_6_Themis_Sema3a
G06170918P3,L5_6_Themis_Sema3a
D13HB47NeoCP9,L5_6_Themis_Sema3a
A08170918P3,L5_6_Themis_Sema3a
B10MGE171027P3,L5_6_Themis_Sema3a
E04170918P3,L5_6_Themis_Sema3a
E01MGE171027P1,L5_6_Themis_Sema3a
F03170918P3,L5_6_Themis_Sema3a
D03MGE171027P1,L5_6_Themis_Sema3a
G09MGE171027P3,L5_6_Themis_Sema3a
A02MGE171027P1,L5_6_Themis_Sema3a
H02170918P3,L5_6_Themis_Sema3a
C08170707P3,L5_6_Themis_Sema3a
H04MGE171027P1,L5_6_Themis_Sema3a
A09MGE171027P3,L5_6_Themis_Sema3a
A01170707P3,L2_3_Cux2_Frem3
G07170918P3,L5_6_Themis_Sema3a
F02MGE171027P1,L5_6_Themis_Sema3a
B10170918P2,L5_6_Themis_Sema3a
G03MGE171027P1,L5_6_Themis_Sema3a
F04MGE171027P1,L5_6_Themis_Sema3a
B06HB47NeoCP4,L5_6_Themis_Sema3a
F05170707P3,L5_6_Fezf2_Lrrk1_Pcp4
D05HB47NeoCP8,L5_6_Fezf2_Lrrk1_Pcp4
D03170918P3,L5_6_Fezf2_Lrrk1_Pcp4
C08170918P3,L5_6_Fezf2_Lrrk1_Pcp4
B15HB47NeoCP9,L5_6_Fezf2_Lrrk1_Sema3e
H09170918P2,L5_6_Themis_Sema3a
E03MGE171027P1,L5_6_Themis_Sema3a
H23HB47NeoCP7,L5_6_Fezf2_Lrrk1_Pcp4
G01MGE171027P1,L5_6_Themis_Sema3a
F14HB47NeoCP9,L5_6_Fezf2_Lrrk1_Sema3e
