Cell,Type
F08huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Pcp4
D16huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Tle4_Htr2c
G05huNucEpPt19NCNeuNLTSOP1,L5_6_Themis_Sema3a
C20huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
C20huNucEpPt19NCNeuNLTSOP2,L2_Cux2_Lamp5
C16huNucEpPt19NCNeuNLTSOP2,L5_6_Themis_Sema3a
D02huNucEpPt19NCNeuNLTSOP3,L2_Cux2_Lamp5
F08huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Sema3e
E06huNucEpPt19NCLTSOP3BIO,L2_3_Cux2_Frem3
A12huNucEpPt19NCNeuNLTSOP2,L5_6_Themis_Sema3a
D12huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Sema3e
D09huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Sema3e
A11huNucEpPt19NCMGELTSOPX,L5_6_Fezf2_Lrrk1_Pcp4
C10huNucEpPt19NCLTSOP3BIO,L5_6_Fezf2_Lrrk1_Pcp4
C05huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Pcp4
A04huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Tle4_Htr2c
H06huNucEpPt19NCNeuNLTSOP1,L5_6_Themis_Sema3a
G22huNucEpPt19NCLTSOP6BIO,L2_Cux2_Lamp5
A17huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
F22huNucEpPt19NCLTSOP6BIO,L3_Cux2_Prss12
G05huNucEpPt19NCLTSOP3BIO,L5_6_Themis_Ntng2
B12huNucEpPt19NCNeuNLTSOP2,L4_Rorb_Mme
A06huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Pcp4
A07huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Pcp4
D20huNucEpPt19NCLTSOP1BIO,L2_3_Cux2_Frem3
C12huNucEpPt19NCMGELTSOPX,L2_Cux2_Lamp5
A15huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
